text,category
Traffic block every morning,traffic_block
Road il heavy traffic block und,traffic_block
Daily traffic jam near junction,traffic_block
Daily traffic jam near junction,traffic_block
Block due to accident,traffic_block
Traffic congestion during office hours,traffic_block
Road il heavy traffic block und,traffic_block
Daily traffic jam near junction,traffic_block
Block due to accident,traffic_block
Daily traffic jam near junction,traffic_block
Daily traffic jam near junction,traffic_block
Road il heavy traffic block und,traffic_block
Traffic block every morning,traffic_block
Road il heavy traffic block und,traffic_block
Daily traffic jam near junction,traffic_block
Road il heavy traffic block und,traffic_block
Block due to accident,traffic_block
Road il heavy traffic block und,traffic_block
Block due to accident,traffic_block
Block due to accident,traffic_block
Daily traffic jam near junction,traffic_block
Block due to accident,traffic_block
Road il heavy traffic block und,traffic_block
Road il heavy traffic block und,traffic_block
Road il heavy traffic block und,traffic_block
Block due to accident,traffic_block
Road il heavy traffic block und,traffic_block
Road il heavy traffic block und,traffic_block
Traffic congestion during office hours,traffic_block
Traffic congestion during office hours,traffic_block
Daily traffic jam near junction,traffic_block
Traffic block every morning,traffic_block
Block due to accident,traffic_block
Traffic congestion during office hours,traffic_block
Traffic congestion during office hours,traffic_block
Road il heavy traffic block und,traffic_block
Daily traffic jam near junction,traffic_block
Road il heavy traffic block und,traffic_block
Block due to accident,traffic_block
Road il heavy traffic block und,traffic_block
Daily traffic jam near junction,traffic_block
Road il heavy traffic block und,traffic_block
Traffic signal work cheyyunnilla,traffic_light
Traffic light near school broken,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Signal dead causing accidents,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light near school broken,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light blinking continuously,traffic_light
Signal not working at junction,traffic_light
Signal dead causing accidents,traffic_light
Traffic light near school broken,traffic_light
Traffic light near school broken,traffic_light
Traffic light near school broken,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Signal dead causing accidents,traffic_light
Signal not working at junction,traffic_light
Signal dead causing accidents,traffic_light
Signal not working at junction,traffic_light
Signal dead causing accidents,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Signal dead causing accidents,traffic_light
Signal dead causing accidents,traffic_light
Signal dead causing accidents,traffic_light
Signal not working at junction,traffic_light
Traffic light near school broken,traffic_light
Traffic light blinking continuously,traffic_light
Signal dead causing accidents,traffic_light
Traffic light near school broken,traffic_light
Signal dead causing accidents,traffic_light
Signal dead causing accidents,traffic_light
Signal dead causing accidents,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light near school broken,traffic_light
Signal dead causing accidents,traffic_light
Signal dead causing accidents,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Signal not working at junction,traffic_light
Signal not working at junction,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Signal not working at junction,traffic_light
Signal not working at junction,traffic_light
Traffic light blinking continuously,traffic_light
Signal not working at junction,traffic_light
Traffic light near school broken,traffic_light
Signal dead causing accidents,traffic_light
Signal dead causing accidents,traffic_light
Signal not working at junction,traffic_light
Signal dead causing accidents,traffic_light
Traffic light blinking continuously,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Traffic light near school broken,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Traffic light near school broken,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light near school broken,traffic_light
Signal dead causing accidents,traffic_light
Signal not working at junction,traffic_light
Signal dead causing accidents,traffic_light
Signal not working at junction,traffic_light
Signal not working at junction,traffic_light
Signal dead causing accidents,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light near school broken,traffic_light
Signal not working at junction,traffic_light
Signal dead causing accidents,traffic_light
Traffic light blinking continuously,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Traffic light near school broken,traffic_light
Signal not working at junction,traffic_light
Traffic light near school broken,traffic_light
Traffic light near school broken,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light near school broken,traffic_light
Traffic light near school broken,traffic_light
Signal dead causing accidents,traffic_light
Signal dead causing accidents,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light near school broken,traffic_light
Signal not working at junction,traffic_light
Signal dead causing accidents,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light blinking continuously,traffic_light
Signal dead causing accidents,traffic_light
Signal not working at junction,traffic_light
Traffic light blinking continuously,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Signal dead causing accidents,traffic_light
Signal dead causing accidents,traffic_light
Traffic light near school broken,traffic_light
Traffic light near school broken,traffic_light
Signal not working at junction,traffic_light
Signal not working at junction,traffic_light
Signal not working at junction,traffic_light
Traffic light near school broken,traffic_light
Signal not working at junction,traffic_light
Signal dead causing accidents,traffic_light
Signal not working at junction,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light near school broken,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light blinking continuously,traffic_light
Signal not working at junction,traffic_light
Signal not working at junction,traffic_light
Signal dead causing accidents,traffic_light
Signal not working at junction,traffic_light
Traffic light blinking continuously,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Traffic light near school broken,traffic_light
Signal not working at junction,traffic_light
Traffic light near school broken,traffic_light
Signal dead causing accidents,traffic_light
Signal dead causing accidents,traffic_light
Signal not working at junction,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light near school broken,traffic_light
Signal not working at junction,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Traffic light blinking continuously,traffic_light
Signal dead causing accidents,traffic_light
Traffic light near school broken,traffic_light
Traffic light blinking continuously,traffic_light
Signal not working at junction,traffic_light
Traffic light near school broken,traffic_light
Signal dead causing accidents,traffic_light
Traffic light blinking continuously,traffic_light
Signal not working at junction,traffic_light
Signal dead causing accidents,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Traffic light near school broken,traffic_light
Signal dead causing accidents,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light near school broken,traffic_light
Traffic light near school broken,traffic_light
Traffic light blinking continuously,traffic_light
Traffic light near school broken,traffic_light
Signal dead causing accidents,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Traffic signal work cheyyunnilla,traffic_light
Traffic light near school broken,traffic_light
Good morning,unknown
Good evening,unknown
Good night,unknown
Hello,unknown
Hi,unknown
Hey,unknown
How are you?,unknown
How are you doing today?,unknown
I am fine,unknown
Thank you,unknown
Thanks a lot,unknown
Ok,unknown
Okay,unknown
Yes,unknown
No,unknown
Maybe,unknown
Nice,unknown
Great,unknown
Awesome,unknown
Cool,unknown
Please help me,unknown
Can you help?,unknown
I need help,unknown
Tell me something,unknown
Tell me a joke,unknown
Make me laugh,unknown
What is your name?,unknown
Who are you?,unknown
Where are you from?,unknown
What can you do?,unknown
How old are you?,unknown
What is the time now?,unknown
What day is today?,unknown
What is today's date?,unknown
What is the weather today?,unknown
Is it raining today?,unknown
Will it rain tomorrow?,unknown
How is the climate in Kerala?,unknown
What is the capital of India?,unknown
What is the capital of Kerala?,unknown
Who is the prime minister of India?,unknown
Who is the president of India?,unknown
What is 2 plus 2?,unknown
What is 15 divided by 3?,unknown
Solve this math problem,unknown
Explain photosynthesis,unknown
Explain gravity,unknown
What is electricity?,unknown
What is AI?,unknown
What is machine learning?,unknown
What is deep learning?,unknown
What is NLP?,unknown
What is sentiment analysis?,unknown
What is topic modeling?,unknown
What is named entity recognition?,unknown
Explain SDLC,unknown
Explain UML diagrams,unknown
What is COCOMO model?,unknown
What is LR parsing?,unknown
What is compiler design?,unknown
Explain DBMS,unknown
What is SQL?,unknown
What is normalization?,unknown
What is Java?,unknown
What is Python?,unknown
What is React?,unknown
What is HTML?,unknown
What is CSS?,unknown
What is JavaScript?,unknown
How to install VS Code?,unknown
VS Code is not opening,unknown
How to fix laptop slow,unknown
My phone is not working,unknown
My mobile battery drains fast,unknown
My internet is slow,unknown
WiFi not connecting,unknown
My WhatsApp is not working,unknown
My Instagram account got hacked,unknown
Forgot my password,unknown
How to reset password?,unknown
My email is not working,unknown
How to create a Gmail account?,unknown
How to send an email?,unknown
Write a mail for me,unknown
How to write a resume?,unknown
How to prepare for interview?,unknown
How to crack placements?,unknown
Best way to study,unknown
I have exam tomorrow,unknown
I am stressed,unknown
I feel tired,unknown
I am feeling sad,unknown
I am happy today,unknown
I am bored,unknown
What should I do now?,unknown
Give me motivation,unknown
Tell me a quote,unknown
Tell me a story,unknown
Suggest a movie,unknown
Suggest a Malayalam movie,unknown
Suggest a Tamil movie,unknown
Suggest a song,unknown
Suggest a playlist,unknown
What is your favorite movie?,unknown
Who is your favorite actor?,unknown
Do you like music?,unknown
Do you like football?,unknown
Who won the last world cup?,unknown
Who is Messi?,unknown
Who is Ronaldo?,unknown
Tell me about cricket,unknown
IPL schedule please,unknown
What is the score?,unknown
Tell me about Olympics,unknown
Tell me about ISRO,unknown
Tell me about NASA,unknown
What is a black hole?,unknown
What is a galaxy?,unknown
Explain solar system,unknown
What is the moon made of?,unknown
How far is the sun?,unknown
How to cook biriyani?,unknown
How to make tea?,unknown
How to make coffee?,unknown
Suggest a good restaurant,unknown
Best biriyani in Kozhikode,unknown
Best shawarma in town,unknown
Suggest a cafe,unknown
What is the price of iPhone?,unknown
Best budget phone,unknown
Suggest a laptop,unknown
Best headphones,unknown
Where can I buy shoes?,unknown
Online shopping sites,unknown
How to order on Amazon?,unknown
My order is delayed,unknown
Where is my parcel?,unknown
I want to book a train ticket,unknown
Train time to Kochi,unknown
Bus ticket price,unknown
How to reach Calicut beach?,unknown
Suggest tourist places in Kerala,unknown
Tell me about Wayanad,unknown
Tell me about Taj Mahal,unknown
Where is Taj Mahal?,unknown
What is the height of Taj Mahal?,unknown
Explain Mughal architecture,unknown
Tell me about Kerala culture,unknown
Tell me about Onam,unknown
Tell me about Vishu,unknown
Happy birthday,unknown
Happy anniversary,unknown
Congratulations,unknown
All the best,unknown
Good luck,unknown
Take care,unknown
See you later,unknown
Bye,unknown
Goodbye,unknown
